x,y,max_steps
0.05810274928808212,0.010699771344661713,0.0
0.053327783942222595,0.010862656868994236,0.0
0.020022856071591377,-0.013035732321441174,0.0
-0.03615077584981918,-0.04208008944988251,0.0
-0.07583912461996078,-0.08281107246875763,0.0
-0.1011318638920784,-0.08541502803564072,0.0
-0.09996052086353302,-0.060232974588871,0.0
-0.025458762422204018,-0.03984823822975159,0.0
0.10033461451530457,-0.051086604595184326,0.0
0.2009713351726532,-0.08954054117202759,0.0
0.2426113337278366,-0.17494727671146393,0.0
0.245942622423172,-0.22141776978969574,0.0
0.24363039433956146,-0.26332715153694153,0.0
0.2298663854598999,-0.30706465244293213,0.0
0.21537891030311584,-0.3531539738178253,0.0
0.21927684545516968,-0.43070244789123535,0.0
0.24550893902778625,-0.5214047431945801,0.0
0.2508678734302521,-0.6230543851852417,0.0
0.24566008150577545,-0.7089641094207764,0.0
0.21761484444141388,-0.7503615617752075,0.0
0.17721745371818542,-0.7641158699989319,0.0
0.17780663073062897,-0.7896232604980469,0.0
0.20137548446655273,-0.853466808795929,0.0
0.2339687943458557,-0.9045789241790771,0.0
0.28411686420440674,-0.9531084299087524,0.0
0.33915066719055176,-1.0388741493225098,0.0
0.3598058819770813,-1.1152714490890503,0.0
0.3170739412307739,-1.1639970541000366,0.0
0.24208329617977142,-1.2053747177124023,0.0
0.21274356544017792,-1.233591914176941,0.0
0.1689862608909607,-1.2419859170913696,0.0
0.11160662770271301,-1.2895879745483398,0.0
0.07670293748378754,-1.3659780025482178,0.0
0.05002380535006523,-1.4438141584396362,0.0
0.026774141937494278,-1.4923547506332397,0.0
0.08382418006658554,-1.554898977279663,0.0
0.18117299675941467,-1.5768357515335083,0.0
